Trip.ID,Trip.start,Trip.end
0,1768757713,1768758365
1,1769580117,1769582085
2,1767972927,1767974750
3,1769311611,1769312223
4,1767250763,1767251621
5,1769524230,1769525046
6,1769775443,1769776200
7,1769134722,1769135542
8,1769884478,1769884813
9,1769117484,1769117695
10,1767819944,1767820798
11,1769117620,1769119320
12,1767255756,1767257632
13,1769008641,1769011121
14,1768226413,1768227900
15,1767573838,1767574788
16,1767282671,1767282770
17,1767306884,1767307821
18,1769642468,1769644876
19,1769380085,1769380094
20,1767290323,1767290727
21,1768229815,1768231276
22,1769832710,1769833658
23,1768309094,1768309936
24,1768526997,1768527211
25,1768774934,1768775358
26,1769129727,1769130901
27,1768517855,1768518209
28,1767617702,1767618061
29,1769730482,1769731830
30,1769098620,1769099486
31,1769894000,1769895284
32,1769778891,1769780012
33,1768028630,1768029142
34,1767663957,1767664708
35,1768418271,1768419246
36,1769304099,1769305209
37,1769478420,1769478600
38,1767517098,1767518455
39,1767937544,1767937862
40,1768270110,1768271243
41,1768533995,1768535250
42,1768847545,1768849795
43,1768792383,1768794087
44,1768004634,1768005477
45,1767876709,1767877172
46,1769899589,1769900841
47,1768004704,1768005062
48,1769436680,1769437112
49,1769529182,1769531262
50,1769812543,1769814161
51,1769270233,1769270238
52,1768670487,1768672205
53,1768800005,1768801285
54,1768915963,1768916641
55,1768435664,1768436618
56,1767798002,1767798701
57,1768079026,1768080056
58,1767898226,1767898746
59,1767663491,1767664836
60,1768556911,1768558629
61,1768679008,1768679213
62,1769477718,1769478862
63,1767532715,1767533148
64,1768269119,1768270198
65,1768853536,1768854712
66,1767375620,1767376776
67,1767425438,1767425830
68,1769715142,1769716011
69,1768701465,1768702768
70,1769717968,1769719391
71,1769778733,1769780085
72,1767737562,1767740930
73,1769805276,1769805936
74,1769036041,1769037114
75,1767472538,1767472837
76,1768154730,1768155988
77,1769803110,1769809670
78,1767461919,1767461919
79,1767644178,1767644185
80,1768862455,1768862825
81,1767248574,1767250403
82,1769861405,1769862902
83,1768689684,1768690932
84,1769444438,1769445230
85,1769218485,1769218804
86,1769224673,1769225852
87,1768830210,1768831406
88,1769791478,1769792310
89,1767804526,1767806323
90,1768065419,1768067050
91,1767552197,1767552634
92,1767326570,1767326918
93,1768088788,1768089614
94,1767809122,1767809743
95,1768497065,1768498192
96,1768998397,1768998664
97,1768252843,1768253412
98,1769282505,1769285871
99,1767295746,1767296481
100,1768115500,1768116824
101,1769901931,1769902796
102,1769030394,1769030976
103,1768610676,1768612050
104,1767648806,1767649225
105,1769601095,1769602294
106,1768770484,1768770874
107,1767979985,1767980430
108,1768626081,1768626879
109,1769037778,1769039301
110,1769285133,1769286039
111,1769050881,1769052221
112,1768356540,1768357440
113,1768759328,1768760205
114,1767651065,1767651528
115,1769117626,1769118500
116,1769688432,1769688624
117,1769538816,1769539939
118,1768883190,1768884860
119,1767417554,1767418875
120,1767787105,1767787404
121,1769106475,1769107242
122,1768671199,1768672084
123,1768666826,1768667330
124,1769196259,1769200209
125,1768170515,1768170936
126,1768065305,1768066187
127,1768264492,1768265331
128,1768780049,1768780247
129,1768367076,1768367698
130,1769318463,1769319545
131,1768482726,1768487633
132,1768345390,1768346534
133,1769195675,1769196141
134,1767637233,1767638318
135,1768027562,1768027917
136,1768164046,1768164407
137,1767545866,1767547202
138,1769801319,1769805827
139,1768835895,1768836932
140,1768484136,1768484775
141,1768421574,1768422657
142,1768181303,1768181955
143,1769784169,1769784734
144,1767795652,1767795842
145,1769213978,1769214822
146,1767675629,1767676227
147,1768268259,1768269338
148,1768241857,1768242873
149,1767626969,1767627431
150,1767563143,1767563847
151,1768008222,1768009135
152,1768317962,1768319328
153,1767361239,1767363718
154,1768063796,1768064259
155,1767986952,1767990489
156,1767823419,1767824115
157,1768627834,1768628369
158,1767798154,1767798839
159,1769315008,1769315425
160,1769309675,1769311184
161,1767634783,1767635434
162,1768722720,1768723560
163,1768804474,1768804941
164,1768000840,1768002053
165,1769131421,1769132033
166,1767999480,1768000260
167,1769163459,1769165947
168,1768082462,1768083954
169,1768086400,1768087068
170,1767379939,1767381518
171,1769613934,1769615300
172,1768996697,1768997220
173,1767473735,1767474237
174,1769487246,1769487941
175,1769191028,1769193547
176,1769127972,1769128777
177,1769560003,1769560216
178,1768597529,1768601779
179,1768081189,1768082786
180,1767982001,1767982599
181,1768145180,1768145509
182,1768141628,1768142996
183,1769002638,1769006539
184,1767973835,1767977070
185,1767901519,1767902979
186,1768995442,1768996645
187,1769192332,1769194318
188,1768239387,1768240306
189,1769569124,1769569502
190,1768163961,1768164996
191,1769014905,1769015754
192,1768598009,1768599161
193,1767730367,1767731374
194,1768612908,1768613785
195,1769849466,1769850629
196,1767652554,1767652893
197,1769359486,1769360605
198,1767321231,1767322145
199,1768508945,1768509464
200,1767547555,1767548187
201,1769486004,1769486927
202,1768173022,1768173452
203,1769514755,1769515440
204,1768611289,1768611729
205,1767365374,1767367087
206,1769838030,1769838610
207,1769121084,1769123789
208,1768314239,1768314244
209,1768272947,1768274420
210,1767567135,1767567218
211,1768722096,1768722592
212,1768995914,1768996459
213,1769736129,1769737314
214,1769609125,1769610348
215,1768680329,1768680842
216,1767992141,1767996020
217,1767409678,1767409847
218,1768787395,1768788589
219,1769568616,1769570128
220,1767817823,1767819778
221,1768175329,1768176456
222,1767676995,1767677599
223,1768248704,1768249320
224,1768705123,1768709478
225,1768049243,1768050463
226,1767298760,1767299540
227,1769025544,1769026046
228,1769782267,1769787841
229,1769005947,1769007095
230,1769291235,1769292782
231,1768012315,1768013966
232,1768740701,1768741048
233,1767254271,1767255027
234,1769920506,1769921440
235,1769039185,1769040087
236,1769696182,1769697635
237,1768963233,1768963766
238,1769022219,1769022770
239,1768275352,1768276208
240,1769119672,1769120436
241,1768792631,1768792982
242,1767639732,1767640512
243,1769441309,1769441718
244,1768415841,1768417855
245,1769631269,1769631909
246,1767823434,1767823610
247,1769798342,1769799480
248,1768756825,1768757490
249,1768335743,1768335997
250,1769187988,1769188578
251,1769137901,1769138652
252,1767487824,1767488447
253,1767972126,1767974574
254,1767490708,1767491578
255,1768312127,1768313126
256,1768027525,1768027944
257,1769625290,1769626892
258,1768761504,1768762264
259,1768707708,1768708678
260,1767552034,1767552264
261,1767518116,1767518421
262,1768262437,1768263260
263,1768790033,1768790180
264,1769654675,1769655681
265,1769619173,1769620929
266,1768429542,1768429994
267,1768302620,1768308758
268,1769873076,1769873759
269,1767252420,1767253060
270,1768163294,1768164454
271,1767369587,1767370989
272,1768522933,1768523694
273,1768521551,1768522374
274,1767316062,1767317345
275,1768311349,1768312787
276,1767383053,1767383798
277,1767882211,1767883602
278,1769786839,1769788048
279,1768612813,1768614571
280,1768682929,1768684056
281,1767621172,1767621924
282,1769572073,1769572786
283,1768513239,1768514255
284,1769701884,1769703252
285,1767466587,1767467766
286,1769100257,1769103818
287,1769706805,1769707628
288,1769805483,1769805837
289,1769044718,1769045622
